PHOBIAS,RELATED WORDS
Anginophobia,"suffocate,denseness,throttle,die,choke_off,quip,heave,density,pass_away,asphyxiate,niggardliness,retch,give-up_the_ghost,cash_in_one's_chips,compactness,choking_coil,gag,scrag,pop_off,go,snuff_it,clog_up,stifle,fret,clog,tightness,back_up,decease,conk,kick_the_bucket,croak,stringency,parsimony,drop_dead,pass,pharynx,minginess,choke,tightfistedness,meanness,congest,exit,concentration,tautness,gagging,throat,muzzle,niggardness,choke_coil,buy_the_farm,expire,constriction,perish,parsimoniousness,foul,closeness,strangle"
Angrophobia,"scream,endanger,jeopardise,imperil,ramp,fad,lowering,furiousness,peril,hysteria,delirium,wildness,threaten,furore,hostility,minatory,aggression,choler,struggle,ira,shout,erinyes,sullen,yell,angriness,furor,see_red,force,ominous,fight,craze,storm,argue,cry,minacious,eumenides,passion,run_afoul,ferocity,yelling,sinister,menace,hollo,shout_out,forbidding,debate,baleful,battle,ire,dispute,infringe,squall,fury,shouting,fence,vehemence,contravene,aggressiveness,wrath,conflict,fierceness,difference,rage,call,heavy,menacing,reason,frenzy,violence,madness,holler,cult,contend,indicate,difference_of_opinion,jeopardize,threatening,anger,engagement,argueing"
Anthophobia,"prime,blush,salad_days,rosiness,blossom,efflorescence,bloom,flower,heyday,flowers,bloom_of_youth,peak,flush,pollen,blooming"
Anthropophobia,"company,social_club,street,bunch,fellowship,streets,metropolis,herd,market,gang,food_market,city,lodge,markets,crowd_together,society,companionship,high_society,grocery,grocery_store,gild,securities_industry,mart,crowd,beau_monde,world,public,push,club,marketplace,market_place,populace,crew,cities,order,commercialize,commercialise,bon_ton,urban_center,smart_set,guild"
Aphenphosmphobia,"affect,adjoin,stuffiness,speck,extend_to,contact_lens,involvement,have-to_doe_with,niggardliness,hugging,fondness,bed,bonk,tinct,sexual_love,get_hold_of,have_a_go_at_it,cutaneous_senses,warmheartedness,dear,roll_in_the_hay,screw,touch_sensation,making_love,bang,affectionateness,beloved,match,have_intercourse,affection,embrace,necking,signature,eff,soupcon,fondling,secretiveness,mite,petting,sleep_together,hump,jazz,love,advert,come_to,spot,stir,kissing,caressing,smooching,feeling,allude,amour,have_it_away,contact,refer,familiarity,touch_modality,tint,inter-group_communication,have_it_off,minginess,be_intimate,tangency,tightfistedness,cuddling,have_sex,touch_on,partake,bear_upon,bear_on,passion,concern,get_it_on,honey,sense_of_touch,dearest,tactual_sensation,rival,tightness,striking,philia,affaire,skin_senses,parsimony,heart,disturb,meanness,liaison,do_it,impact,snuggling,trace,parsimoniousness,tactile_sensation,pinch,nearness,fuck,physical_contact,know,touching,hint,affair,get_laid,warmness,tenderness,sleep_with,get_through,middleman,enjoy,meet,ghost,erotic_love,love_life,bosom,equal,impinging,hug,link,tinge,niggardness,lie_with,touch,squeeze,make_love,jot,pertain,reach,intimacy,make_out,lovemaking,closeness,relate"
Arachibutyrophobia,"jounce,cram,pack,muddle,gluey,steamy,chock_up,honey,gummy,hole,love,shake_up,pile,close_up,mob,dearest,electronic_jamming,jampack,occlude,collide,impede,mucilage,embarrassing,pasty,viscous,dear,gum,jamming,ram,fix,awkward,jarful,sticky,muggy,jolt,beloved,clash,throng,pickle,paste,viscid,jar,press,crush,unenviable,mucilaginous,obstruct,wad,bump_around,obturate,kettle_of_fish,block,shock,glutinous,mess,glue,jam"
Arachnophobia,"insects,louse,dirt_ball,webs,vane,reverence,net,insect,wanderer,fright,awe,dread,network,world_wide_web,spider,creepy-crawly,crawly,care,www,spiders,entanglement,concern,creepy,fear,web,fearfulness,veneration,venerate,revere,worm"
Arithmophobia,"number,reckoning,numbers_racket,figuring,computing,issue,add_up,problem,par,keep_down,numeral,book_of_numbers,numbers_game,identification_number,computation,problems,count,enumerate,equating,equality,turn,deliberation,phone_number,numerate,maths,amount,bit,telephone_number,trouble,equations,calculations,come,routine,equation,job,figure,numbers,math,total,calculation,numbers_pool,list,mathematics,equivalence,act"
Astraphobia,"sully,rage,thunder,ramp,weather,clouds,upwind,surprise,obnubilate,atmospheric_condition,befog,taint,becloud,brave,obscure,mottle,force,skag,nose_drops,endure,tempest,dapple,boom,big_h,hell_dust,storm,storms,overcast,corrupt,roar,violent_storm,scag,brave_out,mist,cloud,swarm,fog,smack,haze_over,defile,lightning,conditions,roaring,weather_condition"
Astrophobia,"wandflower,star,universe_of_discourse,outer_space,genius,blank,superstar,space,quad,lead,maven,hotshot,principal,creation,cosmea,distance,virtuoso,galax,asterisk,population,galaxies,existence,place,beetleweed,coltsfoot,sensation,galax_urceolata,whizz,ace,extragalactic_nebula,whiz,world,cosmos,headliner,universe,mavin,wizard,macrocosm,champion,adept,galaxy,stars,wiz,star_topology,infinite,blank_space"
Ataxophobia,"mass,mountain,topsy-turvyness,muddle,deal,smother,pandemonium,untidiness,disquiet,distract,disarray,hole,bedlam,muckle,mint,perturb,pile,sight,cark,messiness,batch,unhinge,disorderliness,topsy-turvydom,passel,mess_hall,quite_a_little,fix,jumble,lot,clutter,upset,trouble,disorder,good_deal,heap,flock,raft,mare's_nest,pickle,hatful,peck,plenty,pot,mussiness,muss,great_deal,wad,mess_up,stack,clutter_up,kettle_of_fish,chaos,slew,welter,mickle,spate,fuddle,mess,jam,tidy_sum"
Atelophobia,"misapprehension,erroneousness,wrongdoing,mistake,shift,error,geological_fault,flaw,errors,fracture,blame,erroneous_belief,slip,err,break,demerit,faults,misplay,imperfectness,blemish,misunderstanding,faulting,fault,computer_error,defect,imperfection,misidentify"
Atychiphobia,"departure,loser,expiration,red,licking,kill,letdown,nonstarter,reverse,deprivation,overcome,shoot_down,failure,frustration,release,get_the_better_of,reversal,vote_out,loss,exit,blow,going,passing,vote_down,black_eye,setback,unsuccessful_person,personnel_casualty,dashing_hopes,defeat,disappointment,bankruptcy,red_ink"
Automatonophobia,"machine,political_machine,golem,automobile,androids,bradypus_tridactylus,three-toed_sloth,cyborg,artificial_intelligence,android,motorcar,car,robots,mechanical_man,automaton,army_intelligence,artificial_insemination,ai,robot,machines,cyborgs,simple_machine,auto,bionic_man,humanoid,bionic_woman"
Autophobia,"purdah,secretiveness,shut_up,still,swarthiness,lonely,closing_off,shadow,exclusively,solely,quieten,loneliness,secrecy,solitariness,unaccompanied,wickedness,solitary,quiet,isolation,solitude,aloneness,iniquity,duskiness,hush,lone,unequalled,solo,unique,unequaled,entirely,forlornness,only,alone,dark,darkness,silence,muteness,desolation,lonesomeness,unparalleled,hush_up"
Bacteriophobia,"scandal,transmission,disease,taint,pollution,shit,poop,ungraded,unwellness,crap,microscope,grime,turd,source,filth,germs,malicious_gossip,sickness,bug,illness,infection,stain,bacterium,grunge,grease,dirt,bacteria,contaminant,germ,seed,microbe,shite,contamination,malady,soil,contagion"
Barophobia,"fall_down,soberness,free_weight,falling,pressing,angle,burdensomeness,decrease,insistence,blackjack,ponderousness,weighting,weightiness,onerousness,flow,force_per_unit_area,diminish,graveness,burden,sobriety,solemnity,go_down,heaviness,force,hang,gravitation,fall,precipitate,shine,coerce,pressure,pressure_sensation,return,atmospheric_pressure,air_pressure,burthen,thickness,weight,pass,blackmail,sombreness,weight_down,come,slant,somberness,gravitational_force,settle,strike,accrue,gravitational_attraction,imperativeness,press,descend,pressure_level,system_of_weights,squeeze,hale,oppressiveness,come_down,insistency,gravity,dropping,light,exercising_weight,lessen,devolve,weight_unit"
Bathmophobia,"splosh,tread,inclines,whole_step,ramp,decrease,allium_tricoccum,travel,trigger,side,ramps,spark,hang,stone's_throw,tend,pitch,swingy,pass,come,wild_leek,trigger_off,mistreat,strike,jaunt,descend,activate,trip,gradient,squish,footmark,trip_out,devolve,set_off,falling,tripping,abuse,be_given,diminish,slosh,trip_up,go_down,stair,fall,return,storm,run,spill,settle,pace,slope,come_down,dropping,light,measure,actuate,touch_off,flow,dispose,slop,precipitate,lightsome,steps,tone,swill,footprint,stumble,footstep,step,spark_off,stairs,turn_on,splatter,fall_down,rage,ill-treat,whole_tone,lean,incline,lilting,ill-use,gradation,shine,slopes,swinging,footfall,squelch,maltreat,accrue,stride,dance_step,get_off,splash,lessen"
Batrachophobia,"batrachian,salientian,amphibians,skip,spring,toad,jump,stick_out,jump-start,rise,parachute,pass_over,amphibian,alternate,amphibious_aircraft,start,bound,jump_off,toad_frog,anuran,amphibious_vehicle,stand_out,toads,frog,jumpstart,chute,leap_out,startle,leap,climb_up,frogs,jump_out,jumping,derail,skip_over,gaul"
Belonephobia,"discriminating,trap,immobilize,rowlock,descent,sharp,pair_of_scissors,scissors_grip,sharply,knife,immobilise,pin_tumbler,origin,incisive,roue,ancestry,parentage,syringe,knifelike,goad,line_of_descent,pedigree,oarlock,abrupt,penetrating,objects,peg,needle,thole,pivot,stick,fall,phonograph_needle,injection,personal_identification_number,stemma,tongue,object,pin,stab,scissors,precipitous,blood,bowling_pin,objective,aim,rakehell,acutely,scissors_hold,acerate_leaf,pin_number,piercing,injectant,target,scissor_hold,line,stock,acuate,tholepin,lineage,crisp,flag,profligate,pins,keen,scissor,acute,bloodline,physical_object,penetrative,tart,shrill,needlelike,shrewd,needles,blood_line,astute,scissor_grip,shot,sharp-worded,rake,rip"
Bibliophobia,"record,reading_material,version,mix-up,spell,composition,indication,register,write,school_text,committal_to_writing,drop_a_line,good_book,foliate,reading,muddiness,varlet,mental_confusion,say,record_book,save,textual_matter,script,literature,publish,word_of_god,take,word,writing,learn,book,holy_scripture,leger,bible,paginate,disarray,koran,rule_book,al-qur'an,authorship,confusion,books,pages,holy_writ,scripture,lit,read,piece_of_writing,pen,interpretation,volume,book_of_account,meter_reading,recital,confusedness,text,compose,indite,discombobulation,show,pageboy,written_material,understand,translate,text_edition,schoolbook,page,christian_bible,textbook,recitation,account_book,hold,quran,playscript,ledger,thomas_nelson_page,scan,penning,sir_frederick_handley_page,study,interpret,reserve"
Botanophobia,"pull_up_stakes,blossom,farewell,allow_for,pass_on,spine,heyday,leave,institute,parting,flush,thorn,constitute,lead,sticker,vine,leave_alone,works,plant_life,flora,shoetree,vines,leaf,leave_behind,get_out,pricker,give,plant,industrial_plant,bequeath,establish,go_forth,allow,provide,spikelet,prime,corner,leave-taking,go_away,implant,imbed,leaves,bloom,embed,will,tree,flowers,exit,trees,go_out,sir_herbert_beerbohm_tree,result,forget,leafage,leave_of_absence,pollen,set,plants,nature,folio,entrust,found,thorns,irritant,prickle,impart,foliage,flower,depart,peak,engraft,tree_diagram,efflorescence"
Cacophobia,"twist,aberration,ugliness,flex,ill-shapen,flaw,straining,wickedness,torture,antic,malformed,deformation,distort,vileness,turn,moulder,nefariousness,optical_aberration,rot,fantastical,twisting,deform,putrefaction,distortion,monstrous,deformed,distorted_shape,rotting,imperfectness,change_form,overrefinement,blemish,molder,fault,fantastic,decomposition,misshapen,bend,grotesque,strain,defect,change_shape,imperfection,waste,distorted,decompose,contort,wring,flaws"
Catagelophobia,"humiliation,freeze_off,burlesque,scoffing,spurn,mortification,jeer,spoof,takeoff,rib,sendup,blackguard,superfluity,laugh,overplus,make_fun,lampoon,laugh_at,travesty,roast,charade,disdain,contemn,jeering,chagrin,jest_at,scoff,poke_fun,pasquinade,mockery,despite,ridicule,derision,reject,contempt,scorn,abasement,guy,embarrassment,despise,pooh-pooh,put-on,parody,plethora,laughter,turn_down"
Catoptrophobia,"mirror_image,range_of_a_function,aberration,picture,visualise,visualize,range,straining,torture,manifestation,mental_image,look-alike,fancy,images,mirrors,ikon,simulacrum,deformation,icon,paradigm,reflexion,effigy,reflection,contemplation,persona,double,epitome,optical_aberration,envision,twisting,reflectivity,distortion,image,musing,trope,project,reflections,distorted_shape,figure_of_speech,prototype,overrefinement,figure,mirror,rumination,see,expression,thoughtfulness,observation"
Chionophobia,"bamboozle,deoxyephedrine,overwinter,snowstorm,methedrine,frappe,coke,ice-skating_rink,play_false,c,snowfall,sparkler,internal-combustion_engine,shabu,snow,icing,insensate,common_cold,white-out,frigid,chicken_feed,winter,rash,chalk,frigidness,ice_rink,meth,hoodwink,cold-blooded,frosting,crank,frost,dusty,stale,methamphetamine_hydrochloride,frigidity,cold,methamphetamine,blow,ice,pull_the_wool_over_someone's_eyes,water_ice,trash,white_out,c._p._snow,wintertime,lead_by_the_nose,nose_candy,low_temperature,blizzard,coldness,glass,baron_snow_of_leicester,moth-eaten,charles_percy_snow,whiteout,inhuman"
Chrometophobia,"rich,money,wealthiness,account,banker's_bill,banknote,charge,handbill,mint,invoice,eyeshade,note,coin,broadsheet,pecker,greenback,measure,bills,covetousness,vizor,rapacity,avaritia,billhook,riches,wealth,federal_reserve_note,coins,poster,avarice,flyer,broadside,throwaway,neb,posting,strike,circular,nib,bill,visor,card,debt,greed,flier,beak,peak,notice,rich_people,bank_note,government_note,bank_bill,placard"
Chromophobia,"colourize,colourise,discolor,spectre,vividness,emblazon,coloring_material,refinement,shadow,hues,discolour,colour_in,coloration,subtlety,nicety,distort,people_of_colour,dark_glasses,shades,colouration,shade,tad,shadowiness,imbue,ghost,tint,spook,colors,colour,color_in,tone,colours,people_of_color,colorise,sunglasses,hue,tincture,colouring,tinge,chromaticity,fill_in,colorize,gloss,nuance,colouring_material,specter,shade_off,coloring,color,semblance,shadiness,wraith"
Chronomentrophobia,"follow,alfilaria,filaria,pin_grass,deadline,sentry,ticktock,keep_an_eye_on,redstem_storksbill,look_out,retick,find_out,take_in,prison_term,erodium_cicutarium,time,tick_off,ticking,filaree,lookout,clock_time,catch,click,beat,determine,sentinel,check_off,alfileria,observe,scout,meter,tick,vigil,lookout_man,look_on,fourth_dimension,mark,check,spotter,deadlines,picket,sentence,clocks,watch,ticker,metre,clip,clock,view,see,watches,watch_out,ticktack,ascertain,pin_clover,watch_over,learn,mark_off"
Chronophobia,"senescent,destruction,commute,death,senescence,shift,incertitude,interchange,alteration,switch,variety,modify,prison_term,change,dubiousness,time,convert,uncertainty,clock_time,aging,decease,dying,uncertainness,alter,get_on,mature,dubiety,maturate,ripening,end,ageing,meter,doubtfulness,exchange,fourth_dimension,expiry,senesce,modification,sentence,vary,last,age,clip,metre,clock,doubt,deepen,transfer,precariousness,demise"
Cibophobia,"suffocate,throttle,eating,die,choke_off,intellectual_nourishment,eat,pass_away,taint,choking,asphyxiate,rust,pollution,give-up_the_ghost,wipe_out,hungriness,crave,lust,cash_in_one's_chips,thirstiness,feed,famish,gag,scrag,use_up,food,corrode,pop_off,go,snuff_it,clog_up,stifle,fret,clog,back_up,decease,eat_up,appetite,throttling,kick_the_bucket,croak,consume,drop_dead,pass,starve,feeding,choke,food_for_thought,conk,congest,exit,run_through,strangling,buy_the_farm,nutrient,thirst,contaminant,expire,hunger,strangulation,perish,deplete,solid_food,exhaust,contamination,eat_on,foul,appetency,appetence,strangle"
Claustrophobia,"throttle,small-scale,jailed,stick_in,trap,insert,pin_down,elevator,enwrap,immobilize,bunch,minuscule,lift,minor,enclose,ensnare,restrain,enclosed,burrow,envelop,confined,cornered,herd,enfold,circumscribe,imprisoned,gang,introduce,trammel,little,wrap,inclose,hold_in,entrap,shut_in,modest,put_in,immobilise,crowd_together,snare,hold,belittled,humble,pocket-size,restrict,bound,captive,treed,small,crowd,push,limit,lowly,confine,at_bay,trapped,crew,close_in,pocket-sized,pin,detain,tunnel,low,diminished"
Climacophobia,"meridian,fall_down,stairs,altitude,falling,summit,tallness,decrease,stature,tiptop,flow,diminish,mounting,acme,climb,rise,elevation,go_down,stair,height,go_up,hang,fall,precipitate,shine,return,steps,heights,wax,pass,mount,come,high,pinnacle,settle,strike,accrue,top,descend,step,climbing,climb_up,come_down,peak,superlative,dropping,light,lessen,devolve"
Coulrophobia,"dress_up,physical_composition,composition,antic,buffoon,costumes,goofball,merry_andrew,makeup,constitution,clowns,goof,war_paint,clown,costume,clown_around,make-up"
Cyberphobia,"computing_machine,concealment,calculator,screen_out,net,technology,block_out,screen,screens,internet,cover,screenland,sieve,shield,engineering,malfunction,viruses,computer,sort,virus,engineering_science,filmdom,covert,projection_screen,computing_device,data_processor,misfunction,applied_science,computers,electronic_computer,screen_door,test,blind,riddle,computer_virus,information_processing_system,crt_screen,cyberspace,estimator,reckoner,figurer,silver_screen"
Cynophobia,"wiener,hot_dog,cuspid,heel,dog,sting,cad,go_after,frump,eye_tooth,weenie,tail,canines,chamfer,domestic_dog,barbed,mordacious,blackguard,canine_tooth,pawl,bounder,frank,dogtooth,track,click,chase,hound,bite,eyetooth,bitter,hotdog,firedog,tag,seize_with_teeth,skin,nipping,canine,dogs,bark,pungent,andiron,burn,furrow,canis_familiaris,trail,canid,wienerwurst,chase_after,barking,chasing,give_chase,biting,detent,prick,dog-iron,frankfurter"
Daemonophobia,"monomania,swarthiness,ogre,smell,evilness,will_power,shadow,disembodied_spirit,spirit_up,sprightliness,daemon,spirit,willpower,john_barleycorn,wickedness,strong_drink,flavor,supernatural,feeling,self-control,possession,ownership,hard_drink,malign,self-possession,immorality,iniquity,hard_liquor,self-command,fiend,heart,duskiness,demons,tone,emotional_state,occult,terror,spirits,look,purport,evil,liveliness,daimon,life,intent,self-will,malevolent,malefic,booze,feel,dark,scourge,darkness,threat,flavour,devil,demon,monster,inspirit,menace,liquor,vicious"
Decidophobia,"decisions,pressing,selection,option,insistence,mix-up,incertitude,blackjack,disarray,paralysis,force_per_unit_area,decisiveness,dubiousness,force,confusedness,uncertainty,coerce,pressure,pressure_sensation,atmospheric_pressure,air_pressure,determination,confusion,pick,blackmail,dubiety,conclusion,muddiness,palsy,options,discombobulation,mental_confusion,question,alternative,choices,doubtfulness,imperativeness,press,pressure_level,squeeze,hale,insistency,decision,doubt,choice"
Dendrophobia,"wood,forest,afforest,ramify,shoetree,offset,corner,arm,branch,tree,sir_herbert_beerbohm_tree,trees,separate,limb,woodland,outgrowth,branches,nature,subdivision,woods,timberland,offshoot,tree_diagram,ramification,furcate,leg,fork,timber"
Dentophobia,"tooth,goad,alveolar,dental,needle,teeth,acerate_leaf,dentists,tooth_doctor,phonograph_needle,injectant,injection,needles,dental_consonant,dentist,injections,dentition,alveolar_consonant,shot,dental_practitioner"
Domatophobia,"buildings,business_firm,menage,theater,construction,make,structure,family,anatomical_structure,put_up,social_organization,complex_body_part,building,firm,work_up,domiciliate,establish,structures,star_sign,home,sign_of_the_zodiac,mansion,build,build_up,house,planetary_house,edifice,household,body_structure,bodily_structure,social_system,sign,progress,construct,houses,theatre,social_structure,social_organisation,ramp_up"
Dystychiphobia,"combat_injury,profligate,topsy-turvyness,blood,pandemonium,line_of_descent,rakehell,fortuity,bedlam,harm,pedigree,descent,wound,accident,bloodline,injuries,accidents,topsy-turvydom,origin,roue,line,bad_luck,stemma,stock,chance_event,blood_line,hurt,tough_luck,ancestry,lineage,parentage,accidental_injury,trauma,ill_luck,misfortune,injury,stroke,chaos,rake,rip"
Ecophobia,"dark-green,k,park,commons,destruction,death,preservation,jet,putting_green,green_river,pollution,greenness,befoulment,immature,environment,viridity,light-green,demolition,conservation,greens,wipeout,surroundings,super_c,end,fleeceable,unripe,devastation,leafy_vegetable,cat_valium,putting_surface,special_k,greenish,surround,nature,super_acid,common,defilement,contamination,william_green,unripened,green,honey_oil,gullible,environs"
Elurophobia,"upchuck,felines,excise,claws,hissing,purge,sensory_hair,caterpillar,retch,chuck,pincer,felid,grave,computerized_axial_tomography,scratching,spue,fret,cancel,hiss,fizzle,rub,qat,scratch,strike,sibilation,whoosh,scraping,honk,come_up,hushing,scrape_up,cats,big_cat,expunge,spew,hook,nipper,puke,bewhisker,khat,chela,true_cat,quat,sibilate,computed_tomography,engrave,vibrissa,hair's-breadth,sizz,whisker,siss,itch,claw,fray,call_off,boo,cat,regorge,inscribe,bozo,african_tea,hombre,cast,feline,scratch_up,whiskers,beard,guy,scrub,chafe,regurgitate,cat-o'-nine-tails,computed_axial_tomography,throw_up,sick,vomit_up,be_sick,arabian_tea,hair,scrape,kat,face_fungus,vomit,ct,disgorge,hairsbreadth,barf,computerized_tomography"
Emetophobia,"suffocate,nausea,gag,sickness,quip,heave,unwellness,choke,malady,illness,gagging,fret,muzzle,retch,strangle"
Entomophobia,"louse,dirt_ball,sting,tease,glitch,hemipteron,insect,hemipteran,badger,fawn,bugs,bunco,pang,crawl,fast,prick,confidence_trick,wing,fell,twinge,bunko_game,stick,quick,crawling,con,flee,hustle,stinging,bite,grovel,bunko,con_game,confidence_game,fly,fast-flying,bug,tap,gyp,intercept,cower,flimflam,cringe,germ,bunco_game,wiretap,creep,beleaguer,microbe,vanish,vaporize,hemipterous_insect,burn,pester,insect_bite,flight,pilot,worm,take_flight,aviate,creeping,flying"
Ephebiphobia,"young,senescent,youth,younker,commute,brigham_young,senescence,shift,whitney_moore_young_jr.,interchange,alteration,switch,untested,pres_young,variety,vernal,modify,unseasoned,change,whitney_young,early_days,convert,immature,spring_chicken,aging,thomas_young,loretta_young,teen,youthfulness,alter,get_on,mature,edward_young,maturate,ripening,ageing,adolescent,untried,danton_true_young,teenagers,exchange,juvenility,cy_young,teenager,senesce,modification,young_person,lester_willis_young,vary,youthful,age,stripling,deepen,transfer,new,offspring"
Erotophobia,"turn_on,fuck,sleep_together,relationship,know,honey,jazz,hump,kinship,involvement,affair,love,get_laid,wind_up,dearest,sleep_with,bed,amour,sexual_activity,sexual_love,bonk,have_it_away,human_relationship,familiarity,have_a_go_at_it,enjoy,gender,dear,roll_in_the_hay,erotic_love,screw,bang,affaire,nakedness,sexuality,making_love,have_it_off,love_life,be_intimate,nudity,nudeness,sex,liaison,beloved,have_intercourse,family_relationship,lie_with,have_sex,do_it,sexual_urge,sex_activity,arouse,sexual_practice,passion,make_love,eff,excite,get_it_on,intimacy,make_out,lovemaking,closeness"
Equinophobia,"give_up,turn_on,tease,kick,buck,equitation,cavalry,rid,horseback_riding,horse_cavalry,drive,taunt,equus_caballus,rag,razz,tantalize,bait,hinge_on,kick_back,disembarrass,quetch,complain,sit,horse,boot,gymnastic_horse,devolve_on,equid,sawhorse,mount,sawbuck,equine,plain,twit,tantalise,recoil,riding,depend_upon,horses,kvetch,knight,rally,sound_off,hinge_upon,free,depend_on,cod,kicking,ride"
Gamophobia,"union,man_and_wife,relationship,marriage,kinship,loyalty,committedness,wedlock,dedication,human_relationship,commitment,allegiance,consignment,matrimony,spousal_relationship,committal,family_relationship,marriage_ceremony,wedding,married_couple"
